konsiltan	k-on-s-i-l-t-an
kasasyon	k-a-s-a-s-y-on
kakòn	k-a-k-ò-n
sisan	s-i-s-an
kap	k-a-p
maladrèz	m-a-l-a-d-r-è-z
kolaj	k-o-l-a-j
egzèse	e-g-z-è-s-e
èske	è-s-k-e
netralize	n-e-t-r-a-l-i-z-e
ofans	o-f-an-s
dekonekte	d-e-k-o-n-e-k-t-e
entèsendikal	en-t-è-s-en-d-i-k-a-l
mamifè	m-a-m-i-f-è
manigèt	m-a-n-i-g-è-t
woy	w-o-y
apranti	a-p-r-an-t-i
egosantrik	e-g-o-s-an-t-r-i-k
imajine	i-m-a-j-i-n-e
Farennayt	F-a-r-en-n-a-y-t
lavalas	l-a-v-a-l-a-s
lantiy	l-an-t-i-y
Amstèdam	A-m-s-t-è-d-a-m
etadèlye	e-t-a-d-è-l-y-e
filme	f-i-l-m-e
minè	m-i-n-è
pwofèt	p-w-o-f-è-t
mèki	m-è-k-i
dyabetik	d-y-a-b-e-t-i-k
kalman	k-a-l-m-an
Voltè	V-o-l-t-è
Sindi	S-i-n-d-i
fontèn	f-on-t-è-n
nongouvènmantal	n-on-g-ou-v-è-n-m-an-t-a-l
Lerison	L-e-r-i-s-on
tele	t-e-l-e
komès	k-o-m-è-s
rezonableman	r-e-z-o-n-a-b-l-e-m-an
kadnase	k-a-d-n-a-s-e
Fenisi	F-e-n-i-s-i
Lawoz	L-a-w-o-z
zèklè	z-è-k-l-è
trip	t-r-i-p
radyoloji	r-a-d-y-o-l-o-j-i
galata	g-a-l-a-t-a
gouyad	g-ou-y-a-d
Fabyola	F-a-b-y-o-l-a
miray	m-i-r-a-y
fewodal	f-e-w-o-d-a-l
lapoula	l-a-p-ou-l-a
notis	n-o-t-i-s
kanpo	k-an-p-o
asayi	a-s-a-y-i
advèb	a-d-v-è-b
sakit	s-a-k-i-t
lapen	l-a-p-en
pòv	p-ò-v
lanvi	l-an-v-i
derive	d-e-r-i-v-e
kachimbo	k-a-ch-i-m-b-o
malmennen	m-a-l-m-en-n-en
valorize	v-a-l-o-r-i-z-e
eta	e-t-a
enstititè	en-s-t-i-t-i-t-è
ougan	ou-g-an
Domeng	D-o-m-e-ng
kapasite	k-a-p-a-s-i-t-e
etik	e-t-i-k
Valeri	V-a-l-e-r-i
Tètdlo	T-è-t-d-l-o
Youzlin	Y-ou-z-l-i-n
pwogresyon	p-w-o-g-r-e-s-y-on
fakse	f-a-k-s-e
difòm	d-i-f-ò-m
bouboun	b-ou-b-ou-n
ebdomadè	e-b-d-o-m-a-d-è
postè	p-o-s-t-è
jagon	j-a-g-on
trantyèm	t-r-an-t-y-è-m
lesyèl	l-e-s-y-è-l
jeyometrik	j-e-y-o-m-e-t-r-i-k
Otari	O-t-a-r-i
sensèman	s-en-s-è-m-an
apwove	a-p-w-o-v-e
prezante	p-r-e-z-an-t-e
Ivèt	I-v-è-t
chanpyona	ch-an-p-y-o-n-a
kèlke	k-è-l-k-e
reyasire	r-e-y-a-s-i-r-e
lijèn	l-i-j-è-n
deranje	d-e-r-an-j-e
linosan	l-i-n-o-s-an
prefekti	p-r-e-f-e-k-t-i
konfiske	k-on-f-i-s-k-e
paj	p-a-j
bò	b-ò
tanporèl	t-an-p-o-r-è-l
pomad	p-o-m-a-d
anbakman	an-b-a-k-m-an
Natalya	N-a-t-a-l-y-a
ibipwofèn	i-b-i-p-w-o-f-è-n
retonbe	r-e-t-on-b-e
pretandi	p-r-e-t-an-d-i
deteste	d-e-t-e-s-t-e
Sakristen	S-a-k-r-i-s-t-en
Savannwòch	S-a-v-an-n-w-ò-ch
Wozita	W-o-z-i-t-a
andyoze	an-d-y-o-z-e
mounda	m-oun-d-a
Bousiko	B-ou-s-i-k-o
reparatè	r-e-p-a-r-a-t-è
paragraf	p-a-r-a-g-r-a-f
Sefora	S-e-f-o-r-a
lavaj	l-a-v-a-j
elabore	e-l-a-b-o-r-e
selebrasyon	s-e-l-e-b-r-a-s-y-on
etèn	e-t-è-n
pichpen	p-i-ch-p-en
pèsekisyon	p-è-s-e-k-i-s-y-on
eskwad	e-s-k-w-a-d
iltrason	i-l-t-r-a-s-on
enfini	en-f-i-n-i
konsolide	k-on-s-o-l-i-d-e
ensansib	en-s-an-s-i-b
ou	ou
relans	r-e-l-an-s
Erivo	E-r-i-v-o
endenyab	en-d-e-n-y-a-b
rid	r-i-d
wonte	w-on-t-e
Malaleyèl	M-a-l-a-l-e-y-è-l
akonpayman	a-k-on-p-a-y-m-an
konotasyon	k-o-n-o-t-a-s-y-on
Pès	P-è-s
mòfoloji	m-ò-f-o-l-o-j-i
anvye	an-v-y-e
Valin	V-a-l-i-n
komedyen	k-o-m-e-d-y-en
devwe	d-e-v-w-e
zanmitay	z-an-m-i-t-a-y
priyorite	p-r-i-y-o-r-i-t-e
veterinè	v-e-t-e-r-i-n-è
kreyatif	k-r-e-y-a-t-i-f
rafle	r-a-f-l-e
Maselis	M-a-s-e-l-i-s
ferye	f-e-r-y-e
glokòm	g-l-o-k-ò-m
lonè	l-o-n-è
Lesko	L-e-s-k-o
komedi	k-o-m-e-d-i
apwovizyònman	a-p-w-o-v-i-z-y-ò-n-m-an
Kankòk	K-an-k-ò-k
mo	m-o
eksesif	e-k-s-e-s-i-f
retresi	r-e-t-r-e-s-i
flèm	f-l-è-m
benywa	b-e-n-y-w-a
rasi	r-a-s-i
Jenvyèv	J-en-v-y-è-v
dinamit	d-i-n-a-m-i-t
tiray	t-i-r-a-y
endis	en-d-i-s
Amòs	A-m-ò-s
kontribitè	k-on-t-r-i-b-i-t-è
pòpòp	p-ò-p-ò-p
soupl	s-ou-p-l
etenn	e-t-en-n
totalkapital	t-o-t-a-l-k-a-p-i-t-a-l
sidis	s-i-d-i-s
Sorèl	S-o-r-è-l
modil	m-o-d-i-l
rapwochman	r-a-p-w-o-ch-m-an
inibitè	i-n-i-b-i-t-è
Jide	J-i-d-e
bay	b-a-y
sengilye	s-en-g-i-l-y-e
bachata	b-a-ch-a-t-a
konstans	k-on-s-t-an-s
dekoratè	d-e-k-o-r-a-t-è
kwasan	k-w-a-s-an
Anabèl	A-n-a-b-è-l
lekontrè	l-e-k-on-t-r-è
etanp	e-t-an-p
avantaj	a-v-an-t-a-j
dotanplis	d-o-t-an-p-l-i-s
lizib	l-i-z-i-b
toutotan	t-ou-t-o-t-an
lakomin	l-a-k-o-m-i-n
estabilize	e-s-t-a-b-i-l-i-z-e
elikoptè	e-l-i-k-o-p-t-è
aprann	a-p-r-an-n
Izarak	I-z-a-r-a-k
beywa	b-e-y-w-a
lematen	l-e-m-a-t-en
tèks	t-è-k-s
ekout	e-k-ou-t
Danyela	D-a-n-y-e-l-a
zan	z-an
gwosye	g-w-o-s-y-e
vèy	v-è-y
pozitivman	p-o-z-i-t-i-v-m-an
ekzema	e-k-z-e-m-a
jewopolitik	j-e-w-o-p-o-l-i-t-i-k
vakabon	v-a-k-a-b-on
predikasyon	p-r-e-d-i-k-a-s-y-on
kotizasyon	k-o-t-i-z-a-s-y-on
peze	p-e-z-e
chapoba	ch-a-p-o-b-a
baskètbòl	b-a-s-k-è-t-b-ò-l
batiman	b-a-t-i-m-an
Malawi	M-a-l-a-w-i
Jisten	J-i-s-t-en
gaspiyè	g-a-s-p-i-y-è
manajè	m-a-n-a-j-è
baf	b-a-f
Jetwo	J-e-t-w-o
plenn	p-l-en-n
Sedras	S-e-d-r-a-s
komanman	k-o-m-an-m-an
Satin	S-a-t-i-n
Antoni	An-t-o-n-i
Ongri	On-g-r-i
kamyonèt	k-a-m-y-o-n-è-t
entèprèt	en-t-è-p-r-è-t
kachiman	k-a-ch-i-m-an
Moris	M-o-r-i-s
enpòtasyon	en-p-ò-t-a-s-y-on
polemik	p-o-l-e-m-i-k
Basen	B-a-s-en
Fedora	F-e-d-o-r-a
woulant	w-ou-l-an-t
neglijans	n-e-g-l-i-j-an-s
avòtman	a-v-ò-t-m-an
fòfè	f-ò-f-è
kolèj	k-o-l-è-j
lakontantman	l-a-k-on-t-an-t-m-an
madan	m-a-d-an
Ssentespri	S-s-en-t-e-s-p-r-i
Pyerèt	P-y-e-r-è-t
libere	l-i-b-e-r-e
sibkonsyan	s-i-b-k-on-s-y-an
entwodwi	en-t-w-o-d-w-i
dezidratasyon	d-e-z-i-d-r-a-t-a-s-y-on
fwontal	f-w-on-t-a-l
televisyon	t-e-l-e-v-i-s-y-on
Manayim	M-a-n-a-y-i-m
plis	p-l-i-s
aliminyòm	a-l-i-m-i-n-y-ò-m
brav	b-r-a-v
patologi	p-a-t-o-l-o-g-i
sekreteri	s-e-k-r-e-t-e-r-i
bouzendri	b-ou-z-en-d-r-i
klotire	k-l-o-t-i-r-e
varyans	v-a-r-y-an-s
Lamanit	L-a-m-a-n-i-t
bilateral	b-i-l-a-t-e-r-a-l
tirani	t-i-r-a-n-i
Manès	M-a-n-è-s
alimèt	a-l-i-m-è-t
estang	e-s-t-a-ng
Wagnè	W-a-g-n-è
pit	p-i-t
biskèt	b-i-s-k-è-t
esepte	e-s-e-p-t-e
Larabi	L-a-r-a-b-i
Masedoni	M-a-s-e-d-o-n-i
Abraram	A-b-r-a-r-a-m
maleng	m-a-l-e-ng
beki	b-e-k-i
anbale	an-b-a-l-e
pwendevi	p-w-en-d-e-v-i
egalman	e-g-a-l-m-an
entak	en-t-a-k
lamoni	l-a-m-o-n-i
bandwòl	b-an-d-w-ò-l
netwayay	n-e-t-w-a-y-a-y
razya	r-a-z-y-a
nenpòt	n-en-p-ò-t
byennelve	b-y-en-n-e-l-v-e
file	f-i-l-e
afgan	a-f-g-an
estimile	e-s-t-i-m-i-l-e
Filipin	F-i-l-i-p-i-n
anatomi	a-n-a-t-o-m-i
Klemès	K-l-e-m-è-s
inedi	i-n-e-d-i
Sid	S-i-d
detaye	d-e-t-a-y-e
Dezomol	D-e-z-o-m-o-l
abitid	a-b-i-t-i-d
megabayt	m-e-g-a-b-a-y-t
Joslèn	J-o-s-l-è-n
Krismèn	K-r-i-s-m-è-n
akwaryòm	a-k-w-a-r-y-ò-m
sibvansyone	s-i-b-v-an-s-y-o-n-e
nazi	n-a-z-i
jile	j-i-l-e
Lemèt	L-e-m-è-t
grèl	g-r-è-l
bebiboum	b-e-b-i-b-ou-m
kapitalis	k-a-p-i-t-a-l-i-s
apò	a-p-ò
anviwon	an-v-i-w-on
mera	m-e-r-a
sandwitch	s-an-d-w-i-t-ch
Alanzo	A-l-an-z-o
refrijerasyon	r-e-f-r-i-j-e-r-a-s-y-on
vlenbendeng	v-l-en-b-en-d-e-ng
prenatal	p-r-e-n-a-t-a-l
polarize	p-o-l-a-r-i-z-e
jidayizan	j-i-d-a-y-i-z-an
rabòday	r-a-b-ò-d-a-y
Janbatis	J-an-b-a-t-i-s
antren	an-t-r-en
detewonòm	d-e-t-e-w-o-n-ò-m
poste	p-o-s-t-e
kwape	k-w-a-p-e
fache	f-a-ch-e
pous	p-ou-s
lal	l-a-l
eksplwatè	e-k-s-p-l-w-a-t-è
douzmil	d-ou-z-m-i-l
pozisyon	p-o-z-i-s-y-on
chenèt	ch-e-n-è-t
fann	f-an-n
lamarin	l-a-m-a-r-i-n
dekwa	d-e-k-w-a
dezavantaje	d-e-z-a-v-an-t-a-j-e
garaj	g-a-r-a-j
womans	w-o-m-an-s
kontak	k-on-t-a-k
plonje	p-l-on-j-e
labalenn	l-a-b-a-l-en-n
desan	d-e-s-an
swa	s-w-a
jewografi	j-e-w-o-g-r-a-f-i
lafyèv	l-a-f-y-è-v
chemine	ch-e-m-i-n-e
bòz	b-ò-z
aj	a-j
konpay	k-on-p-a-y
foutbòl	f-ou-t-b-ò-l
malis	m-a-l-i-s
sèvant	s-è-v-an-t
alèjik	a-l-è-j-i-k
renmèt	r-en-m-è-t
lenn	l-en-n
katafal	k-a-t-a-f-a-l
Wouzvèlt	W-ou-z-v-è-l-t
dewogatwa	d-e-w-o-g-a-t-w-a
Bostòn	B-o-s-t-ò-n
Kalifòni	K-a-l-i-f-ò-n-i
Dalanbè	D-a-l-an-b-è
mannèv	m-an-n-è-v
ospitalite	o-s-p-i-t-a-l-i-t-e
Wonaldinyo	W-o-n-a-l-d-i-n-y-o
dansè	d-an-s-è
federal	f-e-d-e-r-a-l
denouman	d-e-n-ou-m-an
filtè	f-i-l-t-è
twòke	t-w-ò-k-e
oditoriyom	o-d-i-t-o-r-i-y-o-m
enkosolab	en-k-o-s-o-l-a-b
konfòtab	k-on-f-ò-t-a-b
katouch	k-a-t-ou-ch
Kosovo	K-o-s-o-v-o
mereng	m-e-r-e-ng
delimite	d-e-l-i-m-i-t-e
fasfoud	f-a-s-f-ou-d
lagrèl	l-a-g-r-è-l
ovil	o-v-i-l
chantye	ch-an-t-y-e
amelyore	a-m-e-l-y-o-r-e
ladefansiv	l-a-d-e-f-an-s-i-v
soudè	s-ou-d-è
Akayè	A-k-a-y-è
ponm	p-on-m
twotinèt	t-w-o-t-i-n-è-t
karayibeyèn	k-a-r-a-y-i-b-e-y-è-n
kapasitans	k-a-p-a-s-i-t-an-s
bonbonfle	b-on-b-on-f-l-e
lisid	l-i-s-i-d
atifisyèlman	a-t-i-f-i-s-y-è-l-m-an
fizisyen	f-i-z-i-s-y-en
Legran	L-e-g-r-an
trennen	t-r-en-n-en
meksiken	m-e-k-s-i-k-en
soda	s-o-d-a
Elize	E-l-i-z-e
sipestisye	s-i-p-e-s-t-i-s-y-e
dòlote	d-ò-l-o-t-e
kenzèn	k-en-z-è-n
plennè	p-l-en-n-è
debòde	d-e-b-ò-d-e
ematolojis	e-m-a-t-o-l-o-j-i-s
kannaval	k-an-n-a-v-a-l
eben	e-b-en
adaptatif	a-d-a-p-t-a-t-i-f
Tayino	T-a-y-i-n-o
foto	f-o-t-o
desandan	d-e-s-an-d-an
taks	t-a-k-s
Dantika	D-an-t-i-k-a
serizye	s-e-r-i-z-y-e
leza	l-e-z-a
pasifikman	p-a-s-i-f-i-k-m-an
min	m-i-n
seche	s-e-ch-e
Dyezèl	D-y-e-z-è-l
stòk	s-t-ò-k
glorifye	g-l-o-r-i-f-y-e
pitye	p-i-t-y-e
komokyèl	k-o-m-o-k-y-è-l
mineral	m-i-n-e-r-a-l
malkonprann	m-a-l-k-on-p-r-an-n
Bilgari	B-i-l-g-a-r-i
nev	n-e-v
Dikenns	D-i-k-en-n-s
Nono	N-o-n-o
espoze	e-s-p-o-z-e
kòkmò	k-ò-k-m-ò
sèz	s-è-z
entèkonekte	en-t-è-k-o-n-e-k-t-e
antineyoliberal	an-t-i-n-e-y-o-l-i-b-e-r-a-l
demonte	d-e-m-on-t-e
lyèj	l-y-è-j
palè	p-a-l-è
paran	p-a-r-an
egzamp	e-g-z-a-m-p
matinal	m-a-t-i-n-a-l
dyare	d-y-a-r-e
kolonyalism	k-o-l-o-n-y-a-l-i-s-m
tenpan	t-en-p-an
atach	a-t-a-ch
egzaminatè	e-g-z-a-m-i-n-a-t-è
abondans	a-b-on-d-an-s
teknolojik	t-e-k-n-o-l-o-j-i-k
preskri	p-r-e-s-k-r-i
bajou	b-a-j-ou
anbilans	an-b-i-l-an-s
chiyon	ch-i-y-on
fose	f-o-s-e
bèbèl	b-è-b-è-l
novamb	n-o-v-a-m-b
pèdisyon	p-è-d-i-s-y-on
klib	k-l-i-b
blokaj	b-l-o-k-a-j
dwòg	d-w-ò-g
twòk	t-w-ò-k
lafas	l-a-f-a-s
Elifaz	E-l-i-f-a-z
konkibin	k-on-k-i-b-i-n
travès	t-r-a-v-è-s
elve	e-l-v-e
sitasyon	s-i-t-a-s-y-on
vègòy	v-è-g-ò-y
remèd	r-e-m-è-d
delenkan	d-e-l-en-k-an
pire	p-i-r-e
antisipe	an-t-i-s-i-p-e
minab	m-i-n-a-b
dekad	d-e-k-a-d
estrad	e-s-t-r-a-d
Dipi	D-i-p-i
detann	d-e-t-an-n
entans	en-t-an-s
bwasonyè	b-w-a-s-on-y-è
devye	d-e-v-y-e
rekèy	r-e-k-è-y
grasa	g-r-a-s-a
kranpon	k-r-an-p-on
aristidyen	a-r-i-s-t-i-d-y-en
kalkilatè	k-a-l-k-i-l-a-t-è
Dawome	D-a-w-o-m-e
tchatcha	t-ch-a-t-ch-a
fwete	f-w-e-t-e
lagrèv	l-a-g-r-è-v
fèblantye	f-è-b-l-an-t-y-e
mwayen	m-w-a-y-en
majòjon	m-a-j-ò-j-on
lespwatasyon	l-e-s-p-w-a-t-a-s-y-on
majik	m-a-j-i-k
sendenden	s-en-d-en-d-en
pongongon	p-on-g-on-g-on
rivalite	r-i-v-a-l-i-t-e
lapannkòt	l-a-p-an-n-k-ò-t
patannte	p-a-t-an-n-t-e
Woumè	W-ou-m-è
saliv	s-a-l-i-v
rado	r-a-d-o
Maryani	M-a-r-y-a-n-i
Septantriyonal	S-e-p-t-an-t-r-i-y-o-n-a-l
ranvèse	r-an-v-è-s-e
echofman	e-ch-o-f-m-an
Dondon	D-on-d-on
lajounen	l-a-j-ou-n-en
pwodiktè	p-w-o-d-i-k-t-è
pwogramè	p-w-o-g-r-a-m-è
lèmò	l-è-m-ò
enkonsyan	en-k-on-s-y-an
abrazyon	a-b-r-a-z-y-on
pèleren	p-è-l-e-r-en
malpwòpte	m-a-l-p-w-ò-p-t-e
Lasèl	L-a-s-è-l
chans	ch-an-s
siprann	s-i-p-r-an-n
sible	s-i-b-l-e
makiye	m-a-k-i-y-e
dediksyon	d-e-d-i-k-s-y-on
devinèt	d-e-v-i-n-è-t
dine	d-i-n-e
Charèt	Ch-a-r-è-t
chapit	ch-a-p-i-t
gadjè	g-a-d-j-è
konjonksyon	k-on-j-on-k-s-y-on
swivan	s-w-i-v-an
bonis	b-o-n-i-s
otorite	o-t-o-r-i-t-e
katyaboumbe	k-a-t-y-a-b-ou-m-b-e
anbarasan	an-b-a-r-a-s-an
jijman	j-i-j-m-an
perèz	p-e-r-è-z
Kapvèdyen	K-a-p-v-è-d-y-en
fosil	f-o-s-i-l
payèt	p-a-y-è-t
lanne	l-an-n-e
katechis	k-a-t-e-ch-i-s
radòt	r-a-d-ò-t
bege	b-e-g-e
sinetik	s-i-n-e-t-i-k
Fòtine	F-ò-t-i-n-e
floresan	f-l-o-r-e-s-an
fredone	f-r-e-d-o-n-e
enfliyanse	en-f-l-i-y-an-s-e
anvlimen	an-v-l-i-m-en
bouzin	b-ou-z-i-n
sètitid	s-è-t-i-t-i-d
demistifye	d-e-m-i-s-t-i-f-y-e
Grandans	G-r-an-d-an-s
ventyèm	v-en-t-y-è-m
sipò	s-i-p-ò
lwanjè	l-w-an-j-è
pitans	p-i-t-an-s
minimize	m-i-n-i-m-i-z-e
gwouye	g-w-ou-y-e
emosyonèlman	e-m-o-s-y-o-n-è-l-m-an
sipli	s-i-p-l-i
komik	k-o-m-i-k
Kamye	K-a-m-y-e
jenou	j-e-n-ou
malad	m-a-l-a-d
entèferans	en-t-è-f-e-r-an-s
degoutans	d-e-g-ou-t-an-s
ajite	a-j-i-t-e
kwizinyè	k-w-i-z-i-n-y-è
gwosis	g-w-o-s-i-s
chike	ch-i-k-e
Aliks	A-l-i-k-s
siyad	s-i-y-a-d
lasirèn	l-a-s-i-r-è-n
Lasiri	L-a-s-i-r-i
difisil	d-i-f-i-s-i-l
efikasman	e-f-i-k-a-s-m-an
Linda	L-i-n-d-a
Lamontay	L-a-m-on-t-a-y
mi	m-i
gouvène	g-ou-v-è-n-e
atestasyon	a-t-e-s-t-a-s-y-on
arameyen	a-r-a-m-e-y-en
ekzistans	e-k-z-i-s-t-an-s
sètoblije	s-è-t-o-b-l-i-j-e
elektwochòk	e-l-e-k-t-w-o-ch-ò-k
maren	m-a-r-en
ekri	e-k-r-i
batize	b-a-t-i-z-e
taye	t-a-y-e
katimini	k-a-t-i-m-i-n-i
etnik	e-t-n-i-k
pwopis	p-w-o-p-i-s
taktik	t-a-k-t-i-k
sosyab	s-o-s-y-a-b
kolekte	k-o-l-e-k-t-e
apresyasyon	a-p-r-e-s-y-a-s-y-on
anfantin	an-f-an-t-i-n
repoze	r-e-p-o-z-e
dominikani	d-o-m-i-n-i-k-a-n-i
sandiznevan	s-an-d-i-z-n-e-v-an
Saara	S-a-a-r-a
nèg	n-è-g
Mechoulam	M-e-ch-ou-l-a-m
krazebrize	k-r-a-z-e-b-r-i-z-e
kokomakak	k-o-k-o-m-a-k-a-k
bòs	b-ò-s
fètilize	f-è-t-i-l-i-z-e
twaz	t-w-a-z
materyalis	m-a-t-e-r-y-a-l-i-s
espektak	e-s-p-e-k-t-a-k
ejipsyen	e-j-i-p-s-y-en
òfelina	ò-f-e-l-i-n-a
otomatikman	o-t-o-m-a-t-i-k-m-an
konfime	k-on-f-i-m-e
frite	f-r-i-t-e
kòmè	k-ò-m-è
pedyatri	p-e-d-y-a-t-r-i
Fanfan	F-an-f-an
sapen	s-a-p-en
chanmòt	ch-an-m-ò-t
fatigan	f-a-t-i-g-an
efondreman	e-f-on-d-r-e-m-an
founen	f-ou-n-en
depreferans	d-e-p-r-e-f-e-r-an-s
Fabiola	F-a-b-i-o-l-a
Peyiba	P-e-y-i-b-a
Elèz	E-l-è-z
salòp	s-a-l-ò-p
deviyasyon	d-e-v-i-y-a-s-y-on
kòdonatris	k-ò-d-o-n-a-t-r-i-s
lagrandyab	l-a-g-r-an-d-y-a-b
distribye	d-i-s-t-r-i-b-y-e
notab	n-o-t-a-b
enimere	e-n-i-m-e-r-e
sosyològ	s-o-s-y-o-l-ò-g
monetè	m-o-n-e-t-è
deside	d-e-s-i-d-e
menuizye	m-e-n-ui-z-y-e
sepandan	s-e-p-an-d-an
achemine	a-ch-e-m-i-n-e
soukoup	s-ou-k-ou-p
reyameman	r-e-y-a-m-e-m-an
diri	d-i-r-i
konpran	k-on-p-r-an
nòmalize	n-ò-m-a-l-i-z-e
pèsepsyon	p-è-s-e-p-s-y-on
lans	l-an-s
varyan	v-a-r-y-an
sinematografik	s-i-n-e-m-a-t-o-g-r-a-f-i-k
kreyon	k-r-e-y-on
pyanis	p-y-a-n-i-s
kouve	k-ou-v-e
desann	d-e-s-an-n
lapòs	l-a-p-ò-s
aprantisay	a-p-r-an-t-i-s-a-y
eksplike	e-k-s-p-l-i-k-e
pedan	p-e-d-an
ok	o-k
awoze	a-w-o-z-e
radyatè	r-a-d-y-a-t-è
paregzanp	p-a-r-e-g-z-an-p
ze	z-e
Aleksand	A-l-e-k-s-an-d
prepoze	p-r-e-p-o-z-e
endiferans	en-d-i-f-e-r-an-s
fiskal	f-i-s-k-a-l
kizinye	k-i-z-i-n-y-e
dekwasans	d-e-k-w-a-s-an-s
alimantasyon	a-l-i-m-an-t-a-s-y-on
efemis	e-f-e-m-i-s
konfigirasyon	k-on-f-i-g-i-r-a-s-y-on
blanch	b-l-an-ch
lalibète	l-a-l-i-b-è-t-e
pyano	p-y-a-n-o
fibwoz	f-i-b-w-o-z
Vilat	V-i-l-a-t
dekoule	d-e-k-ou-l-e
etalon	e-t-a-l-on
renn	r-en-n
oktav	o-k-t-a-v
jete	j-e-t-e
fwotman	f-w-o-t-m-an
iregilye	i-r-e-g-i-l-y-e
kanntè	k-an-n-t-è
enmi	e-n-m-i
tren	t-r-en
antiy	an-t-i-y
avansman	a-v-an-s-m-an
rezondèt	r-e-z-on-d-è-t
abstansyon	a-b-s-t-an-s-y-on
vayan	v-a-y-an
dal	d-a-l
Dedin	D-e-d-i-n
klòch	k-l-ò-ch
Andrea	An-d-r-e-a
florida	f-l-o-r-i-d-a
douvan	d-ou-v-an
pinèz	p-i-n-è-z
jenetik	j-e-n-e-t-i-k
kaskad	k-a-s-k-a-d
Fouko	F-ou-k-o
apre	a-p-r-e
sosyo	s-o-s-y-o
dekond	d-e-k-on-d
operatè	o-p-e-r-a-t-è
kokayin	k-o-k-a-y-i-n
bisantnè	b-i-s-an-t-n-è
Oktavio	O-k-t-a-v-i-o
rekonekte	r-e-k-o-n-e-k-t-e
sim	s-i-m
terifyan	t-e-r-i-f-y-an
rakontay	r-a-k-on-t-a-y
jenòm	j-e-n-ò-m
wouj	w-ou-j
felisitasyon	f-e-l-i-s-i-t-a-s-y-on
edikatris	e-d-i-k-a-t-r-i-s
anzim	an-z-i-m
redemare	r-e-d-e-m-a-r-e
Dyesifò	D-y-e-s-i-f-ò
maskarad	m-a-s-k-a-r-a-d
pwopo	p-w-o-p-o
devide	d-e-v-i-d-e
repouse	r-e-p-ou-s-e
ditou	d-i-t-ou
longvi	l-on-g-v-i
remakab	r-e-m-a-k-a-b
Titans	T-i-t-an-s
dekòtike	d-e-k-ò-t-i-k-e
veso	v-e-s-o
kidnapin	k-i-d-n-a-p-i-n
siviv	s-i-v-i-v
epitèt	e-p-i-t-è-t
pichkannen	p-i-ch-k-an-n-en
souflete	s-ou-f-l-e-t-e
karanklou	k-a-r-an-k-l-ou
presede	p-r-e-s-e-d-e
manbre	m-an-b-r-e
anbreye	an-b-r-e-y-e
malenfòme	m-a-l-en-f-ò-m-e
lanvè	l-an-v-è
ekstremis	e-k-s-t-r-e-m-i-s
dyèl	d-y-è-l
chantaj	ch-an-t-a-j
nikotin	n-i-k-o-t-i-n
lèt	l-è-t
etazini	e-t-a-z-i-n-i
santralize	s-an-t-r-a-l-i-z-e
kwòs	k-w-ò-s
wè	w-è
Menelas	M-e-n-e-l-a-s
kabre	k-a-b-r-e
gòlf	g-ò-l-f
akolit	a-k-o-l-i-t
otorizasyon	o-t-o-r-i-z-a-s-y-on
Aryèl	A-r-y-è-l
pwopriyete	p-w-o-p-r-i-y-e-t-e
dèt	d-è-t
enstwi	en-s-t-w-i
tante	t-an-t-e
penyen	p-en-y-en
richès	r-i-ch-è-s
egzistans	e-g-z-i-s-t-an-s
konpare	k-on-p-a-r-e
tout	t-ou-t
katastwòf	k-a-t-a-s-t-w-ò-f
vewòl	v-e-w-ò-l
kolonbyen	k-o-l-on-b-y-en
Chanmas	Ch-an-m-a-s
malediksyon	m-a-l-e-d-i-k-s-y-on
langichat	l-an-g-i-ch-a-t
bagi	b-a-g-i
biya	b-i-y-a
Pisale	P-i-s-a-l-e
anpire	an-p-i-r-e
Beladè	B-e-l-a-d-è
leson	l-e-s-on
iranyen	i-r-a-n-y-en
bwapen	b-w-a-p-en
bouwo	b-ou-w-o
mas	m-a-s
Gwantanamo	G-w-an-t-a-n-a-m-o
piyajè	p-i-y-a-j-è
vènè	v-è-n-è
transpòte	t-r-an-s-p-ò-t-e
kanè	k-a-n-è
temwanye	t-e-m-w-a-n-y-e
tou	t-ou
fèk	f-è-k
gòjèt	g-ò-j-è-t
Nènè	N-è-n-è
kenpòt	k-en-p-ò-t
dekantasyon	d-e-k-an-t-a-s-y-on
nan	n-an
efikas	e-f-i-k-a-s
varyete	v-a-r-y-e-t-e
repwodiksyon	r-e-p-w-o-d-i-k-s-y-on
Ziwa	Z-i-w-a
devise	d-e-v-i-s-e
bavadaj	b-a-v-a-d-a-j
ideyalis	i-d-e-y-a-l-i-s
ofiske	o-f-i-s-k-e
sankatreven	s-an-k-a-t-r-e-v-en
Potifa	P-o-t-i-f-a
chofe	ch-o-f-e
Isaka	I-s-a-k-a
Lafito	L-a-f-i-t-o
amidi	a-m-i-d-i
Tifrè	T-i-f-r-è
obeyi	o-b-e-y-i
Lemonitè	L-e-m-o-n-i-t-è
Lisiyis	L-i-s-i-y-i-s
lamveritab	l-a-m-v-e-r-i-t-a-b
plezante	p-l-e-z-an-t-e
kouvreli	k-ou-v-r-e-l-i
epistemoloji	e-p-i-s-t-e-m-o-l-o-j-i
pelikan	p-e-l-i-k-an
literati	l-i-t-e-r-a-t-i
telekominikasyon	t-e-l-e-k-o-m-i-n-i-k-a-s-y-on
entèpele	en-t-è-p-e-l-e
anmagazine	an-m-a-g-a-z-i-n-e
